[2024-05-05 08:31:46.845]	 List of discovered tpm plugins: christoomey/vim-tmux-navigator
[2024-05-05 08:31:46.859]	 Invoking /Users/anker/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-05 08:31:46.997]	 Installing "vim-tmux-navigator"
[2024-05-05 08:31:47.335]	   "vim-tmux-navigator" download success
[2024-05-05 08:31:47.349]	 Done.

[2024-05-05 08:32:22.023]	 List of discovered tpm plugins: christoomey/vim-tmux-navigator
[2024-05-05 08:32:22.037]	 Invoking /Users/anker/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-05 08:32:22.151]	 Already installed "vim-tmux-navigator"
[2024-05-05 08:32:22.164]	 Invoking /Users/anker/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-05 08:32:22.258]	 Updating all plugins!
[2024-05-05 08:32:22.258]	 
[2024-05-05 08:32:22.551]	   "vim-tmux-navigator" update success
[2024-05-05 08:32:22.554]	     | Already up to date.
[2024-05-05 08:32:22.568]	 Invoking /Users/anker/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-05 08:32:22.720]	 Done.

[2024-05-05 08:33:26.952]	 List of discovered tpm plugins: christoomey/vim-tmux-navigator
[2024-05-05 08:33:26.967]	 Invoking /Users/anker/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-05 08:33:27.080]	 Already installed "vim-tmux-navigator"
[2024-05-05 08:33:27.095]	 Invoking /Users/anker/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-05 08:33:27.158]	 Updating all plugins!
[2024-05-05 08:33:27.158]	 
[2024-05-05 08:33:27.477]	   "vim-tmux-navigator" update success
[2024-05-05 08:33:27.479]	     | Already up to date.
[2024-05-05 08:33:27.494]	 Invoking /Users/anker/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-05 08:33:27.544]	 Done.

[2024-05-05 08:33:51.386]	 List of discovered tpm plugins: christoomey/vim-tmux-navigator
[2024-05-05 08:33:51.403]	 Invoking /Users/anker/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-05 08:33:51.516]	 Already installed "vim-tmux-navigator"
[2024-05-05 08:33:51.530]	 Invoking /Users/anker/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-05 08:33:51.593]	 Updating all plugins!
[2024-05-05 08:33:51.594]	 
[2024-05-05 08:33:51.920]	   "vim-tmux-navigator" update success
[2024-05-05 08:33:51.922]	     | Already up to date.
[2024-05-05 08:33:51.936]	 Invoking /Users/anker/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-05 08:33:51.986]	 Done.

[2024-05-05 08:34:07.820]	 List of discovered tpm plugins: christoomey/vim-tmux-navigator
[2024-05-05 08:34:07.834]	 Invoking /Users/anker/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-05 08:34:07.947]	 Already installed "vim-tmux-navigator"
[2024-05-05 08:34:07.961]	 Invoking /Users/anker/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-05 08:34:08.025]	 Updating all plugins!
[2024-05-05 08:34:08.026]	 
[2024-05-05 08:34:08.317]	   "vim-tmux-navigator" update success
[2024-05-05 08:34:08.319]	     | Already up to date.
[2024-05-05 08:34:08.333]	 Invoking /Users/anker/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-05 08:34:08.382]	 Done.

[2024-05-05 08:34:20.587]	 List of discovered tpm plugins: christoomey/vim-tmux-navigator
[2024-05-05 08:34:20.601]	 Invoking /Users/anker/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-05 08:34:20.713]	 Already installed "vim-tmux-navigator"
